2026-07-01 11:47:07 | INFO     | trading_bot | === Trading bot CLI started ===
2026-07-01 11:47:07 | INFO     | trading_bot | Args: symbol=BTCUSDT side=BUY type=MARKET quantity=0.01 price=None
2026-07-01 11:47:07 | INFO     | trading_bot | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': 'N/A (market order)'}
2026-07-01 11:47:07 | INFO     | trading_bot | REQUEST POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1782886627222, 'recvWindow': 5000}
2026-07-01 11:47:09 | INFO     | trading_bot | RESPONSE POST /fapi/v1/order status=401 body={"code":-2014,"msg":"API-key format invalid."}
2026-07-01 11:47:09 | ERROR    | trading_bot | API ERROR POST /fapi/v1/order: code=-2014 msg=API-key format invalid.
2026-07-01 11:47:09 | ERROR    | trading_bot | Order failed (API error): Binance API error -2014 (HTTP 401): API-key format invalid.
2026-07-01 11:56:45 | INFO     | trading_bot | === Trading bot CLI started ===
2026-07-01 11:56:45 | INFO     | trading_bot | Args: symbol=BTCUSDT side=BUY type=MARKET quantity=0.01 price=None
2026-07-01 11:56:45 | INFO     | trading_bot | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': 'N/A (market order)'}
2026-07-01 11:56:45 | INFO     | trading_bot | REQUEST POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1782887205049, 'recvWindow': 5000}
2026-07-01 11:56:46 | INFO     | trading_bot | RESPONSE POST /fapi/v1/order status=401 body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-07-01 11:56:46 | ERROR    | trading_bot | API ERROR POST /fapi/v1/order: code=-2015 msg=Invalid API-key, IP, or permissions for action
2026-07-01 11:56:46 | ERROR    | trading_bot | Order failed (API error): Binance API error -2015 (HTTP 401): Invalid API-key, IP, or permissions for action
2026-07-01 11:57:14 | INFO     | trading_bot | === Trading bot CLI started ===
2026-07-01 11:57:14 | INFO     | trading_bot | Args: symbol=BTCUSDT side=BUY type=MARKET quantity=0.01 price=None
2026-07-01 11:57:14 | INFO     | trading_bot | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': 'N/A (market order)'}
2026-07-01 11:57:14 | INFO     | trading_bot | REQUEST POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1782887234313, 'recvWindow': 5000}
2026-07-01 11:57:16 | INFO     | trading_bot | RESPONSE POST /fapi/v1/order status=401 body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-07-01 11:57:16 | ERROR    | trading_bot | API ERROR POST /fapi/v1/order: code=-2015 msg=Invalid API-key, IP, or permissions for action
2026-07-01 11:57:16 | ERROR    | trading_bot | Order failed (API error): Binance API error -2015 (HTTP 401): Invalid API-key, IP, or permissions for action
2026-07-01 13:13:39 | INFO     | trading_bot | === Trading bot CLI started ===
2026-07-01 13:13:39 | INFO     | trading_bot | Args: symbol=BTCUSDT side=BUY type=MARKET quantity=0.01 price=None
2026-07-01 14:24:53 | INFO     | trading_bot | === Trading bot CLI started ===
